,,,,,
Twinke Locs Prices,,,,,
Clear,,,,,
Qty,25,50,100,150,200
2mm,," ₦	14,950.00 "," ₦	21,215.00 "," ₦	25,779.50 "," ₦	27,757.45 "
4mm,," ₦	13,590.00 "," ₦	18,903.00 "," ₦	22,773.90 "," ₦	24,451.29 "
6mm," ₦	15,885.00 "," ₦	22,804.50 "," ₦	34,567.65 "," ₦	43,137.95 "," ₦	46,851.74 "
,,,,,
Black,,,,,
Qty,25,50,100,150,200
2mm,," ₦	16,225.00 "," ₦	23,382.50 "," ₦	28,597.25 "," ₦	30,856.98 "
4mm,," ₦	13,590.00 "," ₦	18,903.00 "," ₦	22,773.90 "," ₦	24,451.29 "
6mm," ₦	15,885.00 "," ₦	22,804.50 "," ₦	34,567.65 "," ₦	43,137.95 "," ₦	46,851.74 "
,,,,,
Silver,,,,,
Qty,25,50,100,150,200
2mm,," ₦	18,350.00 "," ₦	26,995.00 "," ₦	33,293.50 "," ₦	36,022.85 "
4mm,," ₦	13,590.00 "," ₦	18,903.00 "," ₦	22,773.90 "," ₦	24,451.29 "
6mm," ₦	15,885.00 "," ₦	22,804.50 "," ₦	34,567.65 "," ₦	43,137.95 "," ₦	46,851.74 "
,,,,,
Gold,,,,,
Qty,25,50,100,150,200
2mm,," ₦	18,435.00 "," ₦	27,139.50 "," ₦	33,481.35 "," ₦	36,229.49 "
4mm,," ₦	13,590.00 "," ₦	18,903.00 "," ₦	22,773.90 "," ₦	24,451.29 "
6mm," ₦	15,885.00 "," ₦	22,804.50 "," ₦	34,567.65 "," ₦	43,137.95 "," ₦	46,851.74 "
,,,,,
24k Gold,,,,,
Qty,25,50,100,150,200
2mm," ₦	19,500.00 "," ₦	26,000.00 "," ₦	58,000.00 "," ₦	84,000.00 "," ₦	91,800.00 "
